video_id,comment_text,like_count,published_at,author,fetched_at
uFGreSkTMck,Anyone 13 April?,0,2026-04-13T13:48:13Z,@abhi_g02,2026-04-13T13:58:15.033434
uFGreSkTMck,An absolute masterpiece 👏,0,2026-04-13T13:47:23Z,@ritikaritu2181,2026-04-13T13:58:15.033453
uFGreSkTMck,1:37  Peak Of This Song,0,2026-04-13T13:36:47Z,@suvadeepsengupta007,2026-04-13T13:58:15.033455
uFGreSkTMck,Khan shab voice❤❤❤❤😊😊,1,2026-04-13T13:30:19Z,@ArinBarlaskar,2026-04-13T13:58:15.033457
uFGreSkTMck,❤what a song 😍🎉,0,2026-04-13T13:25:09Z,@JayantKumar-k8s,2026-04-13T13:58:15.033459
uFGreSkTMck,0:20,0,2026-04-13T13:10:45Z,@ffheroadi1059,2026-04-13T13:58:15.033463
uFGreSkTMck,100/100❤❤❤❤❤,0,2026-04-13T13:02:44Z,@SwaraDongre-v2j,2026-04-13T13:58:15.033465
uFGreSkTMck,Ott release when,0,2026-04-13T13:01:41Z,@alphaXlowky,2026-04-13T13:58:15.033472
uFGreSkTMck,Best film of the decade,0,2026-04-13T12:27:34Z,@shikhardubey1056,2026-04-13T13:58:15.033474
uFGreSkTMck,Whole career of khans = this image 1:03,1,2026-04-13T12:25:10Z,@agneshdixit9140,2026-04-13T13:58:15.033476
uFGreSkTMck,0:17 0:18 0:18 best,0,2026-04-13T12:24:07Z,@sau.kanchanmapari2530,2026-04-13T13:58:15.033478
uFGreSkTMck,Theatre Experience 💀📈,0,2026-04-13T12:12:45Z,@ashmeet2007,2026-04-13T13:58:15.033480
uFGreSkTMck,Vattalu kosukunta anna,0,2026-04-13T11:35:12Z,@TECHNICALBEAST2020,2026-04-13T13:58:15.033482
uFGreSkTMck,"Jinhe ye movie bhi pasand nhi aayi wo yrf spy hi dekho this movie was a pure rush of adrenaline I saw it in theatre 
W experience",0,2026-04-13T11:32:57Z,@mahakalshorts7043,2026-04-13T13:58:15.033483
uFGreSkTMck,BGM RELEASE PLEASE,0,2026-04-13T11:29:19Z,@NoorAliKhimani020,2026-04-13T13:58:15.033485
uFGreSkTMck,Godi midea,1,2026-04-13T11:28:51Z,@BossKidTales,2026-04-13T13:58:15.033487
uFGreSkTMck,Movie 10 song 10❤,0,2026-04-13T11:22:31Z,@trimurtishinde5360,2026-04-13T13:58:15.033488
uFGreSkTMck,1:14,0,2026-04-13T11:11:33Z,@MSufyan-y1n,2026-04-13T13:58:15.033490
uFGreSkTMck,"0:42 I have a question,these railway coaches weren't even invented at that time🤔🤔
Btw the movie is fire❤️🔥",0,2026-04-13T10:53:42Z,@dangerousrupambhai2.0,2026-04-13T13:58:15.033492
uFGreSkTMck,0:35 ❤,0,2026-04-13T10:31:48Z,@mohdRishad-o5o,2026-04-13T13:58:15.033493
